date,HKQuantityTypeIdentifierActiveEnergyBurned,HKQuantityTypeIdentifierBasalEnergyBurned,HKQuantityTypeIdentifierDistanceWalkingRunning,HKQuantityTypeIdentifierStepCount,HKQuantityTypeIdentifierWalkingSpeed,HKQuantityTypeIdentifierWalkingStepLength
2024-03-25,26.52,1422.907,0.6107891599999999,2204.0,1.913597272727273,18.5039
2024-03-26,53.726,1347.418,1.21136916,4439.0,1.9315088461538463,18.80675
2024-03-27,57.198,1423.03,1.115031446,4008.0,1.9214105263157895,19.16697894736842
2024-03-28,69.668,1359.069,1.373282169,5400.0,1.9304763333333335,19.225683333333333
2024-03-29,41.168,1357.743,1.008180854,3830.0,1.8673956,19.102332
2024-03-30,130.315,1455.48,2.73024598,10966.0,1.908978813559322,19.211233898305085
2024-03-31,56.881,1375.012,1.3521261900000001,5047.0,1.7895488888888889,17.72743611111111
2024-04-01,53.268,1443.097,1.16812809,4291.0,1.8010730303030302,18.241433333333333
2024-04-02,62.76,1346.135,1.134197226,4569.0,2.0151075,19.49908611111111
2024-04-03,85.205,1404.5549999999998,1.58140233,5507.0,2.1167560784313726,20.37204705882353
2024-04-04,152.803,1412.917,2.62009247,9711.0,2.0096634,20.13382
2024-04-05,174.437,1395.721,2.730492,10687.0,1.914346543859649,19.74716842105263
2024-04-06,93.726,1419.318,1.21131328,5314.0,1.8348623076923076,19.180266666666665
2024-04-07,264.71500000000003,1405.408,4.152106435,11980.0,2.0181587912087915,20.991576923076924
2024-04-08,116.529,1427.537,1.85594197,7064.0,1.9291648275862068,18.38171724137931
2024-04-09,34.478,1383.309,0.68199837,2593.0,1.959981904761905,19.06632857142857
2024-04-10,41.796,1351.388,0.91389553,3563.0,1.7867533333333334,17.97896666666667
2024-04-11,27.872,1366.535,0.6830484960000001,2480.0,1.835464210526316,18.04803684210526
2024-04-12,23.352999999999998,1383.701,0.63783745,2353.0,1.9082792307692307,19.079315384615384
2024-04-13,23.688,1415.893,0.582504308,2107.0,1.791582909090909,18.43232727272727
2024-04-14,79.581,1382.802,1.690980619,6101.0,2.037515744680851,20.145721276595744
2024-04-15,50.552,1399.062,0.989521291,3469.0,1.8575176923076921,18.746176923076924
2024-04-16,34.334,1388.492,0.6162257800000001,2326.0,1.794518888888889,18.02271111111111
2024-04-17,51.147,1341.581,1.01161062,3550.0,2.152828,20.362168
2024-04-18,84.861,1404.175,1.546959285,5654.0,1.9361927777777777,18.78824722222222
2024-04-19,99.984,1384.206,2.06005076,7126.0,1.9768125714285714,19.59502571428571
2024-04-20,175.51,1420.961,2.78499154,9859.0,2.0541901694915254,19.911886440677968
2024-04-21,239.673,1427.0529999999999,3.542267959,13448.0,1.9524776119402985,19.6673776119403
2024-04-22,48.012,1404.35,0.95252503,3597.0,1.9640303333333333,19.265056666666666
2024-04-23,53.369,1381.392,0.972808873,3940.0,1.8606720512820512,18.77646153846154
2024-04-24,47.94,1378.5439999999999,0.8790104,3573.0,1.9361068965517243,19.01978620689655
2024-04-25,59.949000000000005,1386.291,1.21931014,4623.0,1.8059973529411766,18.364947058823528
2024-04-26,43.138,1383.031,0.9379576,3430.0,1.9072321739130436,18.84624782608696
2024-04-27,38.69,1376.853,0.776651771,2809.0,1.800735,18.7253625
2024-04-28,48.048,1406.437,0.95436431,3456.0,1.8772594736842105,18.845797368421053
2024-04-29,34.776,1404.022,0.794099971,3008.0,1.837205652173913,19.085891304347825
2024-04-30,61.562,1390.872,1.130503813,4194.0,1.944988205128205,19.735476923076924
2024-05-01,35.075,1347.872,0.84546863,3017.0,1.852464375,18.62693125
2024-05-02,71.559,1385.62,1.3354506210000001,5117.0,1.8820093333333334,19.22130888888889
2024-05-03,31.576,1377.675,0.744738291,2536.0,1.8104266666666669,18.818873333333332
2024-05-04,51.748,1419.204,0.970004081,3470.0,2.0171321739130437,19.856173913043477
2024-05-05,90.212,1386.427,1.880623072,6345.0,2.14074725,20.9448425
2024-05-06,53.663000000000004,1371.283,1.12985166,4341.0,1.77184,17.601670833333333
2024-05-07,51.781,1397.072,1.18852768,4380.0,1.829814,18.220436
2024-05-08,17.781,1383.298,0.472490676,1645.0,1.8986,18.405475
2024-05-09,32.083,1357.789,0.81218763,2985.0,1.6284886666666667,17.322799999999997
2024-05-10,21.492,1396.8319999999999,0.517925412,1894.0,1.69447875,18.4054875
2024-05-11,13.173,1374.662,0.385244017,1389.0,1.981925,19.64564
2024-05-12,31.945,1386.488,0.670497,2443.0,1.8616277777777777,18.328922222222225
2024-05-13,39.732,1354.587,0.898092786,3283.0,1.7342844705882352,18.040723529411764
2024-05-14,92.722,1398.806,1.90130063,7146.0,1.9505291071428572,19.340517857142856
2024-05-15,44.967,1373.854,0.9892667,3676.0,1.814336216216216,17.950591891891893
2024-05-16,482.34,1467.408,6.4207462159999995,23552.0,2.081682142857143,20.36929166666667
2024-05-17,192.498,1423.4769999999999,2.1931535,8335.0,1.96738575,19.970435000000002
2024-05-18,158.177,1427.06,2.339955157,8527.0,1.879810701754386,19.63665614035088
2024-05-19,166.432,1379.931,2.0108813,7112.0,1.9189723809523809,19.394414285714284
2024-05-20,338.593,1399.579,3.57916789,12436.0,2.0915356,21.023591999999997
2024-05-21,96.353,1421.641,2.61819215,10863.0,1.9931676923076924,18.87741282051282
2024-05-22,51.699,1387.675,1.143429145,4069.0,1.8334882142857143,18.377353571428575
2024-05-23,81.905,1390.68,1.74456161,6154.0,1.7662852,18.173192
2024-05-24,108.015,1407.176,1.916347833,6694.0,1.6429049999999998,17.793055555555554
2024-05-25,29.951,1357.574,0.583001322,2276.0,1.7850746666666666,18.293926666666668
2024-05-26,28.335,1370.2259999999999,0.73392378,2553.0,1.8188015384615386,18.1102
2024-05-27,103.95700000000001,1389.28,2.060001057,7571.0,1.8552873469387756,18.63245510204082
2024-05-28,99.345,1411.569,2.042508989,7362.0,1.9293575625000001,19.356918750000002
2024-05-29,177.433,1410.857,3.26288565,12081.0,1.9668774545454546,19.312776363636363
2024-05-30,202.6,1419.016,3.69142972,13195.0,1.8176213725490196,18.68145882352941
2024-05-31,139.13400000000001,1417.19,2.664146704,8988.0,1.9954171875,20.392434375
2024-06-01,64.889,1391.733,1.058909804,3750.0,1.9114619999999998,18.602331
2024-06-02,47.8,1359.081,0.967052605,3414.0,1.672438411764706,17.87861176470588
2024-06-03,72.017,1386.359,1.3833032,4926.0,1.8666844827586209,18.843296551724137
2024-06-04,44.126999999999995,1417.821,0.960136485,3358.0,1.8868555,19.251935
2024-06-05,58.634,1359.318,1.29992083,4932.0,1.9384213793103446,19.467789655172417
2024-06-06,40.022,1381.7939999999999,1.03314802,3780.0,1.8253395000000001,18.208625
2024-06-07,40.228,1404.749,0.83325869,2936.0,1.8087214285714286,19.347550000000002
2024-06-08,43.494,1393.793,0.933864846,3177.0,1.9803464705882352,20.356617647058822
2024-06-09,40.187,1348.854,0.8908846850000001,3200.0,1.80632625,17.618075
2024-06-10,44.537,1380.113,0.898160613,3258.0,1.6863053846153848,17.141092307692308
2024-06-11,37.046,1381.878,0.77232753,2773.0,1.86224875,17.98718125
2024-06-12,35.679,1367.945,0.850427424,3106.0,1.85386125,18.0609875
2024-06-13,35.818,1384.285,0.74475055,2609.0,1.5882239999999999,15.984219999999999
2024-06-14,30.25,1390.238,0.84177791,3007.0,1.6818962499999999,16.75685625
2024-06-15,21.818,1372.147,0.50773501,1823.0,1.8700800000000002,18.267680000000002
2024-06-16,27.953,1381.821,0.7303721790000001,2826.0,1.79374375,17.9379625
2024-06-17,100.464,1393.911,1.6648079900000001,6763.0,1.9245372413793103,18.802568965517242
